id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-17,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-02-18,,,,,,,,,,,,,,,,,,,
AS14.01,2014-02-19,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.01,2014-02-20,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.01,2014-02-21,,,,,,,,,,,,,,,,,,,
AS14.01,2014-02-22,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-02-25,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-02-26,,,,,,,,,,,,,,,0.9574271077563381,0.5,0.5,,0.0
AS14.01,2014-02-27,,,,,,,,,,,,,,,1.7320508075688772,0.5773502691896258,0.5773502691896258,,
AS14.01,2014-02-28,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-01,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-03,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-05,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-06,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-07,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-10,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-11,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-12,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-13,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-14,,,,,,,,,,,,,,0.0,,,,,
AS14.01,2014-03-15,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-16,,,,,,,,,,,,,,,,,,,0.0
AS14.01,2014-03-17,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-18,,,,,,,,,,,,,,,,,,,0.0
AS14.01,2014-03-19,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-20,0.014310494381156367,14.590919617606579,61.892421236861544,57.32732433316595,,,,6.60508444306354,62.5024866536597,,,13.48452631722746,,,,,,313.39877934674394,
AS14.01,2014-03-21,0.22147781177877918,13.170801074581062,70.25642253316983,73.739845679102,3.919842416657661,,49.66357068314762,35.06396819869773,92.89535951239897,61.04402413683245,,13.73792884765871,,0.0,0.8366600265340756,0.447213595499958,0.44721359549995804,137.4545413043182,
AS14.01,2014-03-22,0.16614310362592943,3.8820104308449155,71.16384866087299,60.31903686233724,0.9990006673337778,,,10.6359521569869,37.593916173667346,,,22.125264088819375,,0.0,0.8944271909999159,1.0,0.894427190999916,70.02774790095943,
AS14.01,2014-03-23,0.11499881462641875,14.164976300585678,57.151895326775076,23.829479250150083,8.657807858613326,,,10.159485369184145,61.1683963796943,,,,,,0.8366600265340756,0.4472135954999579,0.8366600265340756,107.47830966394652,
AS14.01,2014-03-24,0.10479250633806751,6.003873033339151,41.11911702981944,217.4340860753224,1.6395272082727592,,,1.7115792707321507,114.37093572418806,168.37180570095458,,,,0.0,1.3038404810405297,0.7071067811865476,0.7071067811865476,117.14636546758146,
